Product Name,Product Price,Rating,Number of Reviews,Product URL
"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",,4.3 out of 5 stars,4.3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODg0NTA0NzMzNzQ5NTk3OjE2OTI2MjI4NTA6c3BfbXRmOjIwMTI3NjgzODcyMzk4OjowOjo&url=%2FUPPERCASE-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BXFDK5J2%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692622850%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",,4.1 out of 5 stars,Amazon’s private and select curated brands,https://www.amazon.in/s/ref=sxin_25_trfobq2av2?rh=n%3A14737350031&k=bags&i=specialty-aps&srs=14737350031&pd_rd_w=NTJTD&content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5:amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DAN2Y29X61MFJ00YZAKR&pd_rd_wg=tOE4w&pd_rd_r=f82bf737-4d36-4e60-870a-09937fcf9c1b&qid=1692622850
"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",,4.1 out of 5 stars,4.1,https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_25_trfobq2av2_0_B09SB5DP5Y?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=f82bf737-4d36-4e60-870a-09937fcf9c1b&pd_rd_w=NTJTD&pd_rd_wg=tOE4w&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DAN2Y29X61MFJ00YZAKR&qid=1692622850&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-973fd8bd-28ce-479e-8be4-fbaf1193947a
"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",,4.3 out of 5 stars,4.3,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=sxin_25_trfobq2av2_1_B0821PYKVK?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0821PYKVK&pd_rd_r=f82bf737-4d36-4e60-870a-09937fcf9c1b&pd_rd_w=NTJTD&pd_rd_wg=tOE4w&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DAN2Y29X61MFJ00YZAKR&qid=1692622850&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-973fd8bd-28ce-479e-8be4-fbaf1193947a
Amazon Basics Laptop Backpack,,4.2 out of 5 stars,4.2,https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2/ref=sxin_25_trfobq2av2_2_B09W3XLDM2?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W3XLDM2&pd_rd_r=f82bf737-4d36-4e60-870a-09937fcf9c1b&pd_rd_w=NTJTD&pd_rd_wg=tOE4w&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DAN2Y29X61MFJ00YZAKR&qid=1692622850&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-973fd8bd-28ce-479e-8be4-fbaf1193947a
,,4.0 out of 5 stars,,https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B08D5RCWV9/ref=sxin_25_trfobq2av2_3_B08D5RCWV9?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08D5RCWV9&pd_rd_r=f82bf737-4d36-4e60-870a-09937fcf9c1b&pd_rd_w=NTJTD&pd_rd_wg=tOE4w&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DAN2Y29X61MFJ00YZAKR&qid=1692622850&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-973fd8bd-28ce-479e-8be4-fbaf1193947a
,,4.0 out of 5 stars,,https://www.amazon.in/Amazon-Brand-Solimo-Diaper-Backpack/dp/B08FTHBRPY/ref=sxin_25_trfobq2av2_4_B08FTHBRPY?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08FTHBRPY&pd_rd_r=f82bf737-4d36-4e60-870a-09937fcf9c1b&pd_rd_w=NTJTD&pd_rd_wg=tOE4w&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DAN2Y29X61MFJ00YZAKR&qid=1692622850&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-5-973fd8bd-28ce-479e-8be4-fbaf1193947a
,,4.0 out of 5 stars,,https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sxin_25_trfobq2av2_5_B09W4VMZ79?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W4VMZ79&pd_rd_r=f82bf737-4d36-4e60-870a-09937fcf9c1b&pd_rd_w=NTJTD&pd_rd_wg=tOE4w&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DAN2Y29X61MFJ00YZAKR&qid=1692622850&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-973fd8bd-28ce-479e-8be4-fbaf1193947a
,,4.5 out of 5 stars,,https://www.amazon.in/Dyazo-Backpack-Business-Notebook-computer/dp/B0C7HC675G/ref=sxin_25_trfobq2av2_6_B0C7HC675G?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0C7HC675G&pd_rd_r=f82bf737-4d36-4e60-870a-09937fcf9c1b&pd_rd_w=NTJTD&pd_rd_wg=tOE4w&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DAN2Y29X61MFJ00YZAKR&qid=1692622850&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-7-973fd8bd-28ce-479e-8be4-fbaf1193947a
,,4.0 out of 5 stars,,https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B097NHH5YY/ref=sxin_25_trfobq2av2_7_B097NHH5YY?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B097NHH5YY&pd_rd_r=f82bf737-4d36-4e60-870a-09937fcf9c1b&pd_rd_w=NTJTD&pd_rd_wg=tOE4w&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=DAN2Y29X61MFJ00YZAKR&qid=1692622850&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-973fd8bd-28ce-479e-8be4-fbaf1193947a
